hyperparameter,value,spearman,wikitext_ppl_10pct
lr,0.001,0.6879492600422833,20.195490899933574
lr,0.005,0.6765327695560254,21.159236071586204
lr,0.01,0.6849894291754757,18.461004478194106
lr,0.02,0.689922480620155,18.461004478194106
ema_beta,0.7,0.6792107117688513,18.461004478194106
ema_beta,0.8,0.6752642706131078,18.461004478194106
ema_beta,0.9,0.6849894291754757,18.461004478194106
ema_beta,0.95,0.6880902043692741,18.461004478194106
target_floor,0.1,0.7267089499647639,18.461004478194106
target_floor,0.25,0.6849894291754757,18.461004478194106
target_floor,0.4,0.6105708245243129,21.159236071586204
rank_margin,0.01,0.6212825933756166,18.461004478194106
rank_margin,0.05,0.6849894291754757,18.461004478194106
rank_margin,0.1,0.6911909795630726,18.461004478194106
rank_pairs,32,0.6892177589852009,18.461004478194106
rank_pairs,64,0.6862579281183933,18.461004478194106
rank_pairs,128,0.6849894291754757,18.461004478194106
rank_pairs,256,0.688231148696265,18.461004478194106
lambda_causal,1.0,0.5413671599718112,20.195490899933574
lambda_causal,5.0,0.5661733615221988,18.461004478194106
lambda_causal,10.0,0.6849894291754757,18.461004478194106
lambda_causal,20.0,0.7804087385482734,18.461004478194106
lambda_rank,0.0,0.4197322057787174,18.988190588251634
lambda_rank,1.0,0.5753347427766032,18.461004478194106
lambda_rank,2.0,0.6849894291754757,18.461004478194106
lambda_rank,3.0,0.7333333333333333,18.461004478194106
grad_accum,4,0.6900634249471459,21.159236071586204
grad_accum,8,0.6849894291754757,18.461004478194106
grad_accum,16,0.6841437632135307,21.159236071586204
max_steps,500,0.7054263565891473,21.159236071586204
max_steps,1000,0.6849894291754757,18.461004478194106
max_steps,1500,0.698661028893587,21.159236071586204
